CompTotal,SurveyEase,PurchaseInfluence,ResponseId,TBranch,SurveyLength,ICorPM
60000.0,Easy,I have little or no influence,154,Yes,Appropriate in length,Independent contributor
132000.0,Easy,I have little or no influence,155,No,Too long,
5000.0,Easy,I have some influence,156,No,Appropriate in length,
,Easy,,157,Yes,Appropriate in length,Independent contributor
7200.0,Easy,I have a great deal of influence,158,Yes,Appropriate in length,Independent contributor
5000.0,Neither easy nor difficult,I have some influence,159,No,Appropriate in length,
3000.0,Easy,I have little or no influence,160,Yes,Appropriate in length,Independent contributor
155000.0,Easy,I have some influence,161,No,Appropriate in length,
,Neither easy nor difficult,,162,Yes,Appropriate in length,People manager
100000.0,Easy,I have little or no influence,163,Yes,Appropriate in length,Independent contributor
136000.0,Easy,I have a great deal of influence,164,Yes,Appropriate in length,Independent contributor
22000.0,Easy,I have little or no influence,165,No,Appropriate in length,
,Easy,,166,,Appropriate in length,
43000.0,Neither easy nor difficult,I have some influence,167,Yes,Appropriate in length,Independent contributor
,Easy,,168,,Appropriate in length,
,Easy,I have some influence,169,,Too long,
400000.0,Easy,I have little or no influence,170,No,Appropriate in length,
130000.0,Easy,I have some influence,171,No,Appropriate in length,
109000.0,Neither easy nor difficult,I have some influence,172,Yes,Appropriate in length,Independent contributor
,Easy,,173,,Appropriate in length,
,Easy,,174,,Appropriate in length,
,Easy,,175,No,Appropriate in length,
,Easy,,176,,Appropriate in length,
,Easy,,177,No,Appropriate in length,
180000.0,Easy,I have a great deal of influence,178,Yes,Too short,Independent contributor
,Neither easy nor difficult,I have little or no influence,179,Yes,Appropriate in length,Independent contributor
,Easy,I have a great deal of influence,180,No,Appropriate in length,
,Easy,I have little or no influence,181,Yes,Appropriate in length,
200000.0,Neither easy nor difficult,I have some influence,182,No,Appropriate in length,
94500.0,Easy,I have a great deal of influence,183,Yes,Appropriate in length,Independent contributor
75000.0,Neither easy nor difficult,I have some influence,184,No,Appropriate in length,
33000.0,Neither easy nor difficult,I have little or no influence,185,Yes,Appropriate in length,Independent contributor
,,I have some influence,186,No,,
150000.0,Easy,I have a great deal of influence,187,,Appropriate in length,
45000.0,Easy,I have little or no influence,188,Yes,Appropriate in length,Independent contributor
,Neither easy nor difficult,I have some influence,189,Yes,Too long,Independent contributor
28000.0,Easy,I have little or no influence,191,Yes,Appropriate in length,Independent contributor
110000.0,Easy,I have some influence,192,Yes,Appropriate in length,Independent contributor
70000.0,Difficult,I have some influence,193,Yes,Too short,Independent contributor
,Neither easy nor difficult,I have little or no influence,194,No,Appropriate in length,
,Easy,I have little or no influence,195,No,Appropriate in length,
4500000.0,Easy,I have some influence,196,Yes,Appropriate in length,Independent contributor
,Easy,,197,,Too short,
,Easy,I have little or no influence,198,No,Appropriate in length,
,Easy,I have a great deal of influence,199,,Appropriate in length,
,Neither easy nor difficult,I have little or no influence,200,Yes,Too long,Independent contributor
42000044.0,Neither easy nor difficult,I have some influence,201,Yes,Appropriate in length,Independent contributor
50000.0,Easy,I have a great deal of influence,202,Yes,Appropriate in length,Independent contributor
49500.0,Difficult,I have some influence,203,Yes,Too long,Independent contributor
100000.0,Easy,I have little or no influence,204,Yes,Appropriate in length,Independent contributor
120000.0,Easy,I have little or no influence,205,Yes,Appropriate in length,Independent contributor
,Easy,I have a great deal of influence,206,No,Too long,
48000.0,Neither easy nor difficult,I have some influence,207,Yes,Appropriate in length,Independent contributor
,Neither easy nor difficult,I have some influence,208,No,Appropriate in length,
,Easy,,209,Yes,Appropriate in length,Independent contributor
100000.0,Neither easy nor difficult,I have some influence,210,Yes,Appropriate in length,Independent contributor
50000.0,Neither easy nor difficult,I have little or no influence,211,No,Appropriate in length,
22000.0,Easy,I have little or no influence,212,Yes,Appropriate in length,Independent contributor
,Neither easy nor difficult,I have a great deal of influence,213,Yes,Appropriate in length,Independent contributor
75000.0,Easy,I have some influence,214,Yes,Appropriate in length,Independent contributor
5000.0,Easy,I have a great deal of influence,215,No,Appropriate in length,
,Easy,,216,,Appropriate in length,
170000.0,Easy,I have some influence,217,No,Appropriate in length,
80000.0,Easy,I have a great deal of influence,218,Yes,Appropriate in length,People manager
,Easy,I have some influence,219,No,Appropriate in length,
,Easy,I have little or no influence,220,No,Too long,
50000.0,Easy,I have some influence,221,No,Appropriate in length,
147000.0,Easy,I have some influence,222,Yes,Appropriate in length,Independent contributor
